epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0686,2.00948,3.55628,1.06728,0.01172,0.13407,0.0095,0.00325,1.85338,3.51018,0.91046,0.00012,0.00012,0.00012
2,111.228,1.70329,2.98129,0.92646,0.02,0.22878,0.01235,0.00386,2.16802,3.60838,0.96298,0.000254852,0.000254852,0.000254852
3,165.76,1.70069,2.1016,0.89968,0.04613,0.52768,0.04064,0.01405,1.68685,3.44919,0.89174,0.00038416,0.00038416,0.00038416
1,50.2661,2.00948,3.55628,1.06728,0.01172,0.13407,0.0095,0.00325,1.85338,3.51018,0.91046,0.00012,0.00012,0.00012
2,98.6841,1.70329,2.98129,0.92646,0.02,0.22878,0.01235,0.00386,2.16802,3.60838,0.96298,0.000254852,0.000254852,0.000254852
3,147.361,1.70069,2.1016,0.89968,0.04613,0.52768,0.04064,0.01405,1.68685,3.44919,0.89174,0.00038416,0.00038416,0.00038416
4,195.834,1.63847,1.51964,0.88497,0.04828,0.55228,0.05066,0.01992,1.46627,3.30154,0.85741,0.000507924,0.000507924,0.000507924
5,244.771,1.6292,1.28726,0.88018,0.05355,0.61255,0.06943,0.03061,1.51918,3.17514,0.86184,0.000626144,0.000626144,0.000626144
6,292.437,1.44862,1.08877,0.8775,0.05065,0.57934,0.05998,0.02435,1.5751,3.09048,0.86766,0.00073882,0.00073882,0.00073882
7,340.542,1.43755,1.0083,0.87822,0.05602,0.64084,0.0735,0.0308,1.47082,3.00059,0.86844,0.000845952,0.000845952,0.000845952
8,388.794,1.50654,1.05187,0.88207,0.06452,0.73801,0.1737,0.07385,1.34832,2.88529,0.85588,0.00094754,0.00094754,0.00094754
9,440.008,1.41369,0.95122,0.87031,0.0771,0.88192,0.38544,0.17023,1.49023,2.55826,0.87073,0.00104358,0.00104358,0.00104358
10,491.958,1.49384,1.01402,0.88587,0.76385,0.50554,0.59393,0.31209,1.3514,2.28818,0.85313,0.00113408,0.00113408,0.00113408
11,541.85,1.38781,0.93085,0.8706,0.91444,0.27607,0.67055,0.34834,1.33486,2.17466,0.85081,0.00121904,0.00121904,0.00121904
12,591.268,1.37035,0.88971,0.86351,0.94219,0.31119,0.75211,0.41801,1.28537,1.89928,0.85105,0.00129845,0.00129845,0.00129845
