epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5213,1.87684,3.60179,1.05229,0.00903,0.10332,0.00985,0.00351,1.97087,3.52789,0.91876,0.00012,0.00012,0.00012
2,96.5608,1.59513,2.90633,0.91981,0.03,0.34317,0.02733,0.00889,1.76838,3.55124,0.89899,0.00023426,0.00023426,0.00023426
3,145.094,1.60552,1.97651,0.90682,0.05333,0.61009,0.06753,0.02709,1.53766,3.42146,0.87373,0.0003208,0.0003208,0.0003208
4,192.242,1.60844,1.51049,0.89192,0.05204,0.59533,0.06638,0.02804,1.52566,3.32899,0.86719,0.00037962,0.00037962,0.00037962
5,241.738,1.54459,1.33214,0.88846,0.0486,0.55597,0.06098,0.02358,1.48621,3.26419,0.85866,0.00041072,0.00041072,0.00041072
6,287.824,1.37951,1.14621,0.87254,0.04559,0.52153,0.06222,0.03082,1.39852,3.12076,0.85368,0.0004141,0.0004141,0.0004141
7,335.004,1.32478,1.08411,0.87299,0.04258,0.48708,0.07724,0.04374,1.4359,3.01962,0.85572,0.00038976,0.00038976,0.00038976
8,384.075,1.39407,1.08885,0.87633,0.05699,0.65191,0.12839,0.06377,1.34959,2.92732,0.85332,0.0003377,0.0003377,0.0003377
9,430.435,1.28399,1.02629,0.86102,0.06753,0.77245,0.32758,0.14279,1.34422,2.78423,0.84822,0.00025792,0.00025792,0.00025792
10,477.575,1.23557,0.96647,0.86723,0.07237,0.8278,0.467,0.23579,1.28556,2.61605,0.84508,0.00015042,0.00015042,0.00015042
